Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,Month,Year,priceXvol,Day_Perc_Change,Trend,typical,ma14,standardDeviation
2018-03-02,1084.14,1057.98,1086.89,1050.11,2510000.0,3,2018,2721191400.0000005,0.01188153928001423,Slight or No change,1073.7133333333334,1096.399285714286,27.30453045212945
2018-03-05,1094.76,1078.13,1101.18,1072.27,1430000.0,3,2018,1565506800.0,0.009795782832475508,Slight or No change,1089.4033333333334,1098.841904761905,24.74573473441074
2018-03-06,1100.9,1102.1,1105.63,1094.5,1170000.0,3,2018,1288053000.0,0.005608535204063125,Slight or No change,1100.3433333333335,1102.1454761904763,21.136183889575708
2018-03-07,1115.04,1092.82,1116.2,1089.91,1540000.0,3,2018,1717161600.0,0.01284403669724754,Slight or No change,1107.05,1105.0783333333334,18.40570622918113
2018-03-08,1129.38,1117.2,1131.44,1117.2,1690000.0,3,2018,1908652200.0,0.01286052518295322,Slight or No change,1126.006666666667,1108.0623809523809,18.150416087557204
2018-03-09,1160.84,1139.5,1161.0,1134.29,2130000.0,3,2018,2472589200.0,0.02785599178310205,Slight or No change,1152.0433333333333,1111.8902380952381,21.338921402115737
2018-03-12,1165.93,1165.05,1178.16,1159.2,2220000.0,3,2018,2588364600.0,0.004384755866441603,Slight or No change,1167.7633333333333,1116.4952380952384,25.825681934363526
2018-03-13,1139.91,1171.83,1178.0,1134.57,2160000.0,3,2018,2462205600.0,-0.0223169487018946,Slight or No change,1150.8266666666666,1118.757619047619,27.414875786840284
2018-03-14,1148.89,1145.8,1159.76,1142.35,2090000.0,3,2018,2401180100.0,0.007877814915212555,Slight or No change,1150.3333333333333,1121.3883333333335,28.612812345904626
2018-03-15,1150.61,1149.57,1162.5,1135.66,1670000.0,3,2018,1921518700.0,0.0014970971981649315,Slight or No change,1149.59,1123.3702380952382,29.59098761113378
2018-03-16,1134.42,1155.35,1156.81,1131.36,2930000.0,3,2018,3323850600.0,-0.014070797229295606,Slight or No change,1140.8633333333335,1123.4976190476193,29.667555084035833
2018-03-19,1100.07,1117.76,1119.37,1088.92,3180000.0,3,2018,3498222600.0,-0.030279790553763286,Slight or No change,1102.7866666666666,1121.8264285714286,30.1595244828734
2018-03-20,1095.8,1098.4,1105.55,1082.42,2730000.0,3,2018,2991534000.0,-0.0038815711727435693,Slight or No change,1094.5900000000001,1120.6169047619048,30.934108535388425
2018-03-21,1094.0,1092.57,1108.7,1087.21,2240000.0,3,2018,2450560000.0,-0.0016426355174301575,Slight or No change,1096.6366666666665,1121.5678571428573,29.886360311383786
2018-03-22,1053.15,1080.01,1083.92,1049.64,3470000.0,3,2018,3654430500.000001,-0.037340036563071166,Slight or No change,1062.236666666667,1120.7480952380954,31.41809315170873
2018-03-23,1026.55,1051.37,1066.78,1024.87,2490000.0,3,2018,2556109500.0,-0.025257560651379296,Slight or No change,1039.3999999999999,1117.1764285714287,37.50761847316834
2018-03-26,1054.09,1050.6,1059.27,1010.58,3300000.0,3,2018,3478496999.9999995,0.026827723929667258,Slight or No change,1041.3133333333333,1112.9600000000003,42.527492565770714
2018-03-27,1006.94,1063.9,1064.54,997.62,3040000.0,3,2018,3061097600.0,-0.044730525856425785,Slight or No change,1023.0333333333333,1106.9588095238098,48.87922035215455
2018-03-28,1005.18,1001.91,1024.99,984.0,3880000.0,3,2018,3900098400.0,-0.001747869783701228,Slight or No change,1004.7233333333334,1098.2957142857144,55.53785890428982
2018-03-29,1037.14,1011.21,1048.05,1004.04,3470000.0,3,2018,3598875800.000001,0.03179530034421707,Slight or No change,1029.7433333333336,1089.5600000000002,56.0495272439788
2018-04-02,1012.63,1027.62,1039.53,994.25,3250000.0,4,2018,3291047500.0,-0.02363229650770393,Slight or No change,1015.4699999999999,1078.681904761905,54.46032354418436
2018-04-03,1018.68,1016.15,1025.0,997.25,2570000.0,4,2018,2618007600.0,0.0059745415403453786,Slight or No change,1013.6433333333333,1068.8830952380954,52.797118712893635
2018-04-04,1029.71,998.23,1032.74,996.51,2540000.0,4,2018,2615463400.0,0.01082773785683444,Slight or No change,1019.6533333333333,1059.5488095238097,48.68074045899588
2018-04-05,1032.64,1046.39,1046.71,1024.0,1790000.0,4,2018,1848425600.0,0.0028454613434851783,Slight or No change,1034.45,1051.324523809524,41.494372548269354
2018-04-06,1009.95,1023.1,1036.0,1006.25,2010000.0,4,2018,2029999500.0,-0.021972807561202456,Slight or No change,1017.4,1042.5057142857145,33.31441554018068
2018-04-09,1020.09,1020.04,1044.59,1019.2,1660000.0,4,2018,1693349400.0,0.010040100995098777,Slight or No change,1027.96,1037.1609523809527,28.562896242471357
2018-04-10,1036.5,1030.26,1041.21,1015.41,1840000.0,4,2018,1907160000.0,0.01608681586918803,Slight or No change,1031.04,1032.6216666666671,23.298739621461323
2018-04-11,1025.06,1032.0,1035.87,1019.2,1700000.0,4,2018,1742602000.0,-0.011037144235407692,Slight or No change,1026.7099999999998,1027.626904761905,14.262826913441993
2018-04-12,1037.29,1031.47,1044.65,1026.05,1640000.0,4,2018,1701155600.0,0.011931008916551187,Slight or No change,1035.9966666666667,1025.7526190476192,10.625090220111602
2018-04-13,1036.04,1046.89,1052.98,1030.15,1270000.0,4,2018,1315770800.0,-0.0012050631935138778,Slight or No change,1039.7233333333334,1025.7757142857145,10.657339225388238
2018-04-16,1046.1,1045.55,1051.43,1033.92,1490000.0,4,2018,1558688999.9999998,0.009710049805026877,Slight or No change,1043.8166666666668,1025.954523809524,10.954929234917257
2018-04-17,1079.36,1061.2,1085.0,1057.09,2730000.0,4,2018,2946652799.9999995,0.03179428352929925,Slight or No change,1073.8166666666666,1029.581904761905,16.774928724127527
2018-04-18,1075.39,1079.01,1082.0,1070.52,1560000.0,4,2018,1677608400.0000002,-0.0036781055440259225,Slight or No change,1075.97,1034.6709523809527,19.27434756967942
2018-04-19,1089.45,1069.02,1097.51,1069.02,1990000.0,4,2018,2168005500.0,0.013074326523400792,Slight or No change,1085.3266666666666,1038.6411904761906,23.45297595998571
2018-04-20,1077.32,1084.27,1094.75,1072.1,2120000.0,4,2018,2283918400.0,-0.011134058469870256,Slight or No change,1081.39,1043.349761904762,25.00879026536838
