Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,Month,Year,priceXvol,Day_Perc_Change,Trend
2019-03-28,1172.27,1175.5,1177.25,1163.43,1120000.0,3,2019,1312942400.0,-0.004872624171271878,Slight or No change
2019-03-27,1178.01,1191.92,1191.92,1164.23,1470000.0,3,2019,1731674700.0,-0.009942513279096343,Slight or No change
2019-03-26,1189.84,1205.19,1207.65,1181.76,1540000.0,3,2019,1832353599.9999998,-0.006297081962284512,Slight or No change
2019-03-25,1197.38,1199.56,1209.44,1190.0,1380000.0,3,2019,1652384400.0000002,-0.00850411957106778,Slight or No change
2019-03-22,1207.65,1228.85,1233.63,1206.0,1720000.0,3,2019,2077158000.0000002,-0.023039647933469798,Slight or No change
2019-03-21,1236.13,1220.0,1236.44,1216.58,1410000.0,3,2019,1742943300.0000002,0.007909134642825055,Slight or No change
2019-03-20,1226.43,1201.4,1229.99,1199.59,2080000.0,3,2019,2550974400.0,0.019934135023202515,Slight or No change
2019-03-19,1202.46,1191.72,1203.4,1189.46,1490000.0,3,2019,1791665400.0,0.011703335997644171,Slight or No change
2019-03-18,1188.55,1189.69,1194.95,1181.48,1220000.0,3,2019,1450031000.0,-0.0014702175922036709,Slight or No change
2019-03-15,1190.3,1198.0,1201.72,1187.01,2590000.0,3,2019,3082877000.0,-0.00186997392099153,Slight or No change
2019-03-14,1192.53,1199.02,1204.7,1191.23,1370000.0,3,2019,1633766100.0,-0.005445932647240359,Slight or No change
2019-03-13,1199.06,1205.93,1207.12,1197.91,1290000.0,3,2019,1546787400.0,0.0015117978701189028,Slight or No change
2019-03-12,1197.25,1182.3,1205.71,1182.3,2110000.0,3,2019,2526197500.0,0.015255329613486523,Slight or No change
2019-03-11,1179.26,1152.0,1179.91,1151.57,1500000.0,3,2019,1768890000.0,0.025470229658165033,Slight or No change
2019-03-08,1149.97,1133.9,1153.45,1130.2,1180000.0,3,2019,1356964600.0,-0.0007646522135811296,Slight or No change
2019-03-07,1150.85,1160.5,1163.58,1141.71,1500000.0,3,2019,1726274999.9999998,-0.012095043521554882,Slight or No change
2019-03-06,1164.94,1171.76,1174.74,1163.05,1180000.0,3,2019,1374629200.0,-0.00363499516759469,Slight or No change
2019-03-05,1169.19,1156.0,1176.49,1153.02,2000000.0,3,2019,2338380000.0,0.013672383000121302,Slight or No change
2019-03-04,1153.42,1154.56,1165.52,1138.25,1770000.0,3,2019,2041553400.0000002,0.0042663601852819255,Slight or No change
2019-03-01,1148.52,1131.0,1150.0,1131.0,1700000.0,3,2019,1952484000.0,0.019502019439882945,Slight or No change
2019-02-28,1126.55,1119.0,1133.99,1118.41,1370000.0,2,2019,1543373500.0,0.003259446606524108,Slight or No change
2019-02-27,1122.89,1114.01,1125.73,1108.56,1100000.0,2,2019,1235179000.0,0.0007843067352342192,Slight or No change
2019-02-26,1122.01,1114.37,1126.43,1106.7,1750000.0,2,2019,1963517500.0,0.004188556648438757,Slight or No change
2019-02-25,1117.33,1121.93,1125.4,1114.11,1310000.0,2,2019,1463702300.0,0.0006896181127749035,Slight or No change
2019-02-22,1116.56,1109.7,1117.25,1100.5,1470000.0,2,2019,1641343200.0,0.011184466722815367,Slight or No change
2019-02-21,1104.21,1118.78,1119.15,1097.98,1660000.0,2,2019,1832988600.0,-0.01461729981527582,Slight or No change
2019-02-20,1120.59,1128.88,1130.93,1111.75,1200000.0,2,2019,1344708000.0,-0.005255168618121475,Slight or No change
2019-02-19,1126.51,1116.64,1129.64,1116.64,1100000.0,2,2019,1239161000.0,0.006144887150219214,Slight or No change
2019-02-15,1119.63,1139.3,1139.3,1116.72,1390000.0,2,2019,1556285700.0000002,-0.008475026567481336,Slight or No change
2019-02-14,1129.2,1125.0,1136.13,1117.09,1060000.0,2,2019,1196952000.0,0.0005050370803540982,Slight or No change
2019-02-13,1128.63,1133.04,1142.85,1126.0,1400000.0,2,2019,1580082000.0000002,0.0009311977864099319,Slight or No change
2019-02-12,1127.58,1111.01,1132.86,1111.01,1750000.0,2,2019,1973264999.9999998,0.023100932747795122,Slight or No change
2019-02-11,1102.12,1103.75,1113.43,1100.0,924880.0,2,2019,1019328745.5999999,-0.00023585333551068288,Slight or No change
2019-02-08,1102.38,1094.88,1105.1,1094.24,1090000.0,2,2019,1201594200.0,-0.0031919414780587907,Slight or No change
2019-02-07,1105.91,1111.82,1111.99,1093.59,1910000.0,2,2019,2112288100.0000002,-0.015121694912235362,Slight or No change
2019-02-06,1122.89,1149.27,1154.0,1118.36,2410000.0,2,2019,2706164900.0000005,-0.02515908913332221,Slight or No change
2019-02-05,1151.87,1129.63,1152.77,1123.6,4110000.0000000005,2,2019,4734185700.0,0.009155262742899017,Slight or No change
2019-02-04,1141.42,1119.01,1142.34,1117.51,3920000.0,2,2019,4474366400.0,0.020382256709159607,Slight or No change
2019-02-01,1118.62,1122.29,1134.4,1114.25,1660000.0,2,2019,1856909199.9999998,-0.006457113927648583,Slight or No change
2019-01-31,1125.89,1112.24,1127.67,1105.25,2009999.9999999998,1,2019,2263038900.0,0.025410067486953514,Slight or No change
2019-01-30,1097.99,1077.36,1099.52,1076.64,1470000.0,1,2019,1614045300.0,0.026101340111769566,Slight or No change
2019-01-29,1070.06,1081.04,1084.73,1066.02,985250.0,1,2019,1054276615.0,-0.009075250495434561,Slight or No change
2019-01-28,1079.86,1090.07,1093.37,1074.61,1470000.0,1,2019,1587394199.9999998,-0.01965483745040908,Slight or No change
2019-01-25,1101.51,1094.23,1103.36,1091.8,1160000.0,1,2019,1277751600.0,0.01615313653136541,Slight or No change
2019-01-24,1084.0,1082.51,1088.0,1070.02,1460000.0,1,2019,1582640000.0,-0.0003780857793639347,Slight or No change
2019-01-23,1084.41,1086.86,1092.95,1067.57,1260000.0,1,2019,1366356600.0,0.005358649397847248,Slight or No change
2019-01-22,1078.63,1096.0,1098.97,1070.89,1980000.0,1,2019,2135687400.0000002,-0.025891808904542457,Slight or No change
2019-01-18,1107.3,1108.59,1118.0,1099.28,2240000.0,1,2019,2480352000.0,0.007442317490355954,Slight or No change
